model,dataset_size,dataset,fold,carte_lr_idx,test_score,best_val_loss,Created
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,0,1.0,0.7085947803729882,"[-0.6993890849382358,-0.7164189315828023,-0.6535043389572475,-0.7025028774984793,-0.7016502640629474]",2025-04-25T20:03:57.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,3,1.0,0.9249570478822738,"[-0.8650311540518293,-0.8773545793752365,-0.8870763259248577,-0.849454128137186,-0.8408499618460503]",2025-04-25T19:41:00.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,2,1.0,0.9087771718831702,"[-0.8557990999272972,-0.8712439389296465,-0.8285655917467298,-0.8314346485931107,-0.8573222536666847]",2025-04-25T19:39:28.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,1,1.0,0.9003809666093971,"[-0.8599359494324975,-0.8671821956246132,-0.849943820562275,-0.9068592990488552,-0.8182129531157056]",2025-04-25T19:39:26.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_FAKE_JOB_POSTING,0,1.0,0.9002763875401509,"[-0.8931178686662942,-0.8566012341450812,-0.8663199764466957,-0.87398381311174,-0.8331440657089124]",2025-04-25T19:39:17.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,3,0.0,0.7824947964159842,"[-0.7280372977256775,-0.7498289942741394,-0.7440551519393921,-0.742196798324585,-0.7493362426757812]",2025-04-25T19:20:54.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,2,0.0,0.7687271871542941,"[-0.7711347341537476,-0.7598104476928711,-0.7607107162475586,-0.7554234266281128,-0.7543555498123169]",2025-04-25T19:16:59.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,1,0.0,0.7906112201079548,"[-0.758747935295105,-0.7545002698898315,-0.7468662261962891,-0.7546162009239197,-0.7512798309326172]",2025-04-25T19:16:46.000Z
CARTE 🗺️,10000,MUL_SOCIAL_NEWS_CHANNEL_CATEGORY,0,0.0,0.7919210499869135,"[-0.7420594096183777,-0.7538833618164062,-0.7465662956237793,-0.7669793963432312,-0.7569543123245239]",2025-04-25T19:16:29.000Z
CARTE 🗺️,10000,MUL_PROFESSIONAL_DATA_SCIENTIST_SALARY,3,0.0,0.8311315332703434,"[-0.7985252141952515,-0.7977913618087769,-0.8053795099258423,-0.7952520847320557,-0.8039134740829468]",2025-04-25T18:46:48.000Z
